Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,food safe cutting board oil,1461,34,0.0233,1.54,52.30,206.50,0.2533,3.95,7,7,0.2059
2026-08-01,Wood Care,USD,Wood Care - Broad,Broad - Core,food safe cutting board oil,broad,food safe cutting board oil,974,24,0.0246,1.45,34.87,206.50,0.1689,5.92,7,7,0.2917
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board oil,1650,30,0.0182,1.52,45.70,147.50,0.3098,3.23,5,5,0.1667
2026-08-01,Wood Care,USD,Wood Care - Broad,Broad - Core,cutting board oil,broad,cutting board oil,1100,20,0.0182,1.52,30.47,177.00,0.1721,5.81,6,6,0.3000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,butcher block oil,1008,24,0.0238,1.36,32.60,118.00,0.2763,3.62,4,4,0.1667
2026-08-01,Wood Care,USD,Wood Care - Broad,Broad - Core,butcher block oil,broad,butcher block oil,672,16,0.0238,1.36,21.73,118.00,0.1842,5.43,4,4,0.2500
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,mineral oil for cutting board,1760,32,0.0182,1.41,44.98,177.00,0.2541,3.94,6,6,0.1875
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board oil and wax,924,28,0.0303,1.48,41.48,147.50,0.2812,3.56,5,5,0.1786
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,wood conditioner food safe,1032,24,0.0233,1.42,34.09,118.00,0.2889,3.46,4,4,0.1667
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,beeswax for cutting board,1007,19,0.0189,1.27,24.04,88.50,0.2716,3.68,3,3,0.1579
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,walnut oil for wood,840,20,0.0238,1.31,26.12,88.50,0.2951,3.39,3,3,0.1500
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board wax,420,14,0.0333,1.39,19.44,59.00,0.3295,3.03,2,2,0.1429
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,food grade mineral oil,750,15,0.0200,1.42,21.33,59.00,0.3615,2.77,2,2,0.1333
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,butcher block conditioner,799,17,0.0213,1.54,26.24,59.00,0.4447,2.25,2,2,0.1176
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board sealer,420,10,0.0238,1.43,14.29,29.50,0.4844,2.06,1,1,0.1000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board cleaner,648,8,0.0123,1.07,8.57,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,wood stain remover,73,1,0.0137,1.03,1.03,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,teak oil outdoor,52,1,0.0192,1.40,1.40,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,furniture polish spray,328,8,0.0244,1.35,10.80,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,how to oil a cutting board,204,3,0.0147,1.27,3.80,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board sanitizer,146,2,0.0137,1.10,2.21,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,danish oil,213,3,0.0141,1.00,3.01,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,linseed oil raw,69,1,0.0145,1.29,1.29,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,bowl finish walnut,300,4,0.0133,1.45,5.79,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,olive oil for wood,85,1,0.0118,1.11,1.11,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,knife handle oil,1296,24,0.0185,1.23,29.54,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,charcuterie board sealer,44,1,0.0227,1.25,1.25,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,spoon butter,65,1,0.0154,1.05,1.05,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,wood filler food safe,192,3,0.0156,1.03,3.09,0.00,0.0000,0.00,0,0,0.0000
